study_uid,series_uid,status,n_directory_files,n_dicom_files,shape_z,shape_y,shape_x,dtype,spacing_x,spacing_y,spacing_z,origin_x,origin_y,origin_z,conversion_seconds,output_path,error
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,SUCCESS,22,22,22,512,512,float64,0.330078125,0.330078125,4.634553304068338,-62.468685312953,-142.52268380745,99.6359090936094,0.19369357600226067,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772.zarr,
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,SUCCESS,18,18,18,560,560,float64,0.28771233558654,0.28771233558654,7.71818254493765,-194.13053797765,-127.86820505245,-61.843456590336,0.19594346599842538,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265.zarr,
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174,SUCCESS,16,16,16,576,576,float64,0.29891017079353,0.29891017079353,6.594822450279782,-195.04505819889,-107.56527700881,95.568930750676,0.16536804600036703,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174.zarr,
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,SUCCESS,16,16,16,560,560,float64,0.30745044350624,0.30745044350624,6.594822450279463,-195.04081856204,-107.56530417923,95.5646204792021,0.1757058399998641,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697.zarr,
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546,SUCCESS,22,22,22,640,640,float64,0.26406249403953,0.26406249403953,4.634553304068354,-62.469494825693,-142.55643113711,99.6681463752637,0.22973119699963718,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546.zarr,
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237,SUCCESS,34,34,34,768,768,uint16,0.2214,0.2214,2.999997811417934,-30.1576,-96.402,24.935,0.1927778209974349,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237.zarr,
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711,SUCCESS,34,34,34,768,768,uint16,0.2214,0.2214,2.999997811417934,-30.1576,-96.402,24.935,0.1847201029995631,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711.zarr,
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266,SUCCESS,38,38,38,640,640,uint16,0.2344,0.2344,3.599995418035393,-156.855,-84.7114,-119.363,0.15295932200024254,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266.zarr,
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680,SUCCESS,30,30,30,640,540,uint16,0.25,0.25,3.5999987489577028,-144.668,-80.4455,16.9561,0.12099080899861292,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680.zarr,
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280,SUCCESS,30,30,30,640,540,uint16,0.25,0.25,3.5999987489577028,-144.668,-80.4455,16.9561,0.11945583999840892,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280.zarr,
